Trait,chr,region,rsID,95g,AMR,EAS,SAS,EUR,AFR
Response_to_amphetamines,9,11257448,rs10959672,0.452632,0.3112,0.3591,0.2812,0.3151,0.0734
Obesity-related_traits,9,27309661,rs10967875,0.505263,0.2896,0.2024,0.2945,0.3101,0.0204
Obesity-related_traits,9,2838470,rs10968457,0.0842105,0.0533,0.0536,0.0337,0.0437,0.0189
Obesity-related_traits,9,28402045,rs10968562,0.715789,0.219,0.1756,0.2157,0.1054,0.2489
Obesity-related_traits,9,29783991,rs10969375,0.368421,0.1484,0.1518,0.1759,0.1571,0.2678
Tourette_syndrome,9,102740216,rs10990268,0.431579,0.255,0.1944,0.2955,0.16,0.2118
Obesity-related_traits,10,58795818,rs11006263,0.0105263,0.0231,0.0377,0.0665,0.0527,0.0968
Obesity-related_traits,10,27862006,rs11006747,0.884211,0.6009,0.4157,0.5706,0.6441,0.3268
Obesity-related_traits,10,24822981,rs11014249,0.421053,0.2968,0.1607,0.2791,0.3708,0.3086
Waist-to-hip_circumference_ratio_(interaction),10,129702676,rs11016883,0.410526,0.2824,0.3373,0.408,0.4394,0.1921
Asthma,1,158962765,rs1101999,1,0.964,0.999,1,0.998,0.6861
Waist-to-hip_circumference_ratio_(interaction),11,96258965,rs11021499,0.589474,0.3329,0.5228,0.5961,0.3757,0.1967
Obesity-related_traits,11,20356578,rs11025523,0.0315789,0.0965,0.1409,0.3548,0.2058,0.0613
Response_to_amphetamines,12,127819873,rs11059374,0.494737,0.1974,0.2044,0.1605,0.1889,0.0136
Obesity-related_traits,12,120125170,rs11065028,0.968421,0.683,0.5387,0.684,0.5775,0.6974
Obesity-related_traits,5,173925760,rs1106693,1,0.951,1,0.9796,0.9354,0.8782
Obesity-related_traits,12,118725274,rs11069062,0.0842105,0.1412,0.3165,0.2812,0.2266,0.3139
Obesity-related_traits,13,94853008,rs11070098,0.0526316,0.2104,0.006,0.1288,0.334,0.5681
Asthma,17,39908152,rs11078927,0.484211,0.3343,0.2817,0.316,0.4652,0.1051
Obesity-related_traits,4,95546352,rs11097470,0.0210526,0.0821,0.0635,0.0317,0.1431,0.1929
Glucose_homeostasis_traits,12,76233665,rs11104268,0.0315789,0.062,0.001,0.1176,0.0775,0.0998
Trans_fatty_acid_levels,12,87960746,rs11104688,0.210526,0.062,0.001,0.0245,0.0895,0.003
Trans_fatty_acid_levels,12,88301235,rs11104803,0.210526,0.0548,0.0367,0.0634,0.0716,0.0061
Trans_fatty_acid_levels,12,88393886,rs11104850,0.189474,0.0576,0.001,0.0194,0.0785,0.0053
Trans_fatty_acid_levels,12,88443467,rs11104877,0.2,0.0562,0.001,0.0184,0.0775,0.0053
Obesity-related_traits,12,104424414,rs11112046,0.631579,0.1844,0.1835,0.0767,0.0477,0.0106
Obesity-related_traits,12,108448086,rs11113894,0.610526,0.3602,0.4722,0.1299,0.0934,0.1702
Obesity-related_traits,12,79381468,rs11114027,0.0210526,0.0865,0.0923,0.1186,0.1471,0.0764
Immune_response_to_smallpox_vaccine_(IL-6),12,82625409,rs11115322,0.189474,0.0663,0.1577,0.0654,0.0229,0.2005
Obesity-related_traits,12,83802750,rs11116045,0.473684,0.245,0.1161,0.1186,0.2366,0.385
Obesity-related_traits,2,68425448,rs11126185,0.989474,0.7277,0.8889,0.6748,0.662,0.3283
Attention_deficit_hyperactivity_disorder,5,6834054,rs11134178,0.0105263,0.0303,0,0.0429,0.0577,0.0015
Obesity-related_traits,5,8983609,rs11134338,0.0842105,0.1859,0.1062,0.1912,0.2465,0.292
Asthma_(childhood_onset),9,86912543,rs11141597,0.189474,0.062,0.001,0.0409,0.0278,0.0038
Cotinine_glucuronidation,4,66207425,rs1115363,0.905263,0.9914,1,1,1,0.8699
Obesity-related_traits,6,139338875,rs11155053,0.0105263,0.0778,0.002,0.0378,0.1113,0.1377
Obesity-related_traits,14,64774231,rs11158559,0.0526316,0.1599,0.0962,0.2791,0.2227,0.4637
Response_to_amphetamines,5,119020720,rs111649495,0.0210526,0.072,0.0248,0.1043,0.1123,0.1641
Cognitive_performance,8,138492027,rs11166827,0.936842,0.7046,0.6687,0.6953,0.7634,0.084
Waist-to-hip_circumference_ratio_(interaction),1,105887665,rs11184708,0.305263,0.1585,0.2381,0.1718,0.1282,0.0809
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_1_peripheral_neuropathy),10,98922691,rs11189867,0.0105263,0.0461,0.1399,0.2188,0.0944,0.0439
Obesity-related_traits,10,122092312,rs11200392,0.684211,0.3458,0.3641,0.4683,0.2316,0.3359
Obesity-related_traits,10,84829146,rs11201253,0.494737,0.1455,0.1429,0.1401,0.0099,0.1596
Obesity-related_traits,8,14659785,rs11203649,0.221053,0.8026,0.8036,0.6748,0.6352,0.9387
Prostate_cancer,11,113936459,rs11214775,0.0421053,0.1787,0.2421,0.2301,0.2833,0.2965
Asthma,11,114360533,rs11214966,0.294737,0.147,0.123,0.0879,0.0477,0.2194
HDL_cholesterol,11,117014073,rs11216230,0.410526,0.0562,0.1796,0.0869,0.0129,0.0008
Obesity-related_traits,11,98852486,rs11217223,0.294737,0.0994,0.3333,0.1176,0.0437,0.0393
Bronchopulmonary_dysplasia,11,105101791,rs11226613,0.4,0.1772,0.3284,0.2802,0.1978,0.0696
Cognitive_performance,11,80851695,rs11232369,0.0736842,0.0447,0.0466,0.0297,0.0328,0.1203
Obesity-related_traits,5,111623085,rs11241130,0.673684,0.8703,0.8026,0.7372,0.9076,0.4909
Fibrinogen,5,132420366,rs11242111,1,0.915,0.9772,0.9826,0.9453,0.5651
Response_to_amphetamines,5,108065750,rs11242661,0.978947,0.6311,0.5377,0.4121,0.4811,0.3389
Response_to_amphetamines,9,131574686,rs11243437,0.284211,0.1527,0.1062,0.138,0.2505,0.059
Cognitive_performance,15,51060052,rs1124769,0.284211,0.1686,0.4643,0.1053,0.1849,0.0076
Obesity-related_traits,1,26324059,rs11247915,0.0631579,0.2637,0.0724,0.2464,0.5199,0.4024
Trans_fatty_acid_levels,10,123449043,rs11248534,0.410526,0.2709,0.4474,0.2577,0.2137,0.4924
Obesity-related_traits,10,16702524,rs11254160,0.263158,0.1095,0.3532,0.2168,0.0726,0.2882
Body_mass_index_in_asthmatics,10,6530263,rs11259403,0.947368,0.6571,0.4802,0.5736,0.6909,0.0507
Obesity-related_traits,10,15087403,rs11259474,0.136842,0.1383,0.3383,0.0746,0.1163,0.6097
Bronchopulmonary_dysplasia,18,31059582,rs1126214,0.852632,0.3934,0.7113,0.3252,0.332,0.2655
Chronic_hepatitis_C_infection,20,3213196,rs1127354,0.0736842,0.0418,0.1687,0.1217,0.0706,0.0446
Response_to_amphetamines,15,96475503,rs113154706,0.0315789,0.0951,0.0258,0.1258,0.1799,0.0091
Obesity-related_traits,12,32108305,rs1144713,0.2,0.7147,0.5169,0.6503,0.6024,0.559
Obesity-related_traits,4,179783765,rs11495908,0.0315789,0.1095,0.0734,0.138,0.1968,0.0825
Obesity-related_traits,11,79281641,rs1151200,0.631579,0.4496,0.6558,0.5787,0.4672,0.6051
Fibrinogen,3,136206349,rs1154988,0.968421,0.8055,0.8532,0.7393,0.7714,0.6626
Obesity-related_traits,18,28120827,rs11564386,0.0210526,0.013,0.0367,0.0982,0.0477,0.0825
Obesity-related_traits,1,235103812,rs11577354,0.726316,0.5014,0.377,0.5849,0.5219,0.5477
Response_to_amphetamines,1,47544325,rs11582540,0.189474,0.1095,0.1677,0.0961,0.1153,0.3162
Preeclampsia,11,118161271,rs11600901,0.0210526,0.0605,0.0139,0.0838,0.1064,0.0242
Obesity-related_traits,11,131455352,rs11601906,0.0315789,0.0231,0.0873,0.0215,0.0348,0.0091
Body_mass_index_in_asthmatics,11,73183228,rs11603160,0.168421,0.1427,0.0585,0.091,0.159,0.0219
LDL_cholesterol,19,44900155,rs1160985,0.873684,0.5533,0.3413,0.41,0.4463,0.6225
Preeclampsia,13,102027776,rs11617740,0.0210526,0.0519,0,0.0399,0.0746,0.0061
Obesity-related_traits,14,68519440,rs11624164,0.178947,0.1715,0.0565,0.1431,0.2366,0.0068
Obesity-related_traits,14,46985783,rs11627056,0.389474,0.3098,0.0526,0.1789,0.3907,0.0393
Obesity-related_traits,14,94505905,rs11627075,0.0105263,0.0648,0.0238,0.0573,0.0954,0.0877
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),16,13267554,rs11649112,0.168421,0.1614,0.2252,0.1401,0.2396,0.2073
Obesity-related_traits,17,55442483,rs11653011,0.789474,0.4395,0.3323,0.2096,0.4026,0.3154
Obesity-related_traits,18,6668051,rs11662297,0.505263,0.3862,0.127,0.4151,0.4911,0.4955
Obesity-related_traits,18,5762619,rs11662748,0.0315789,0.134,0.1111,0.1738,0.2396,0.0295
Obesity-related_traits,12,43040479,rs1167125,0.926316,0.9524,0.9276,0.9397,0.9364,0.9115
Obesity-related_traits,19,37194064,rs11673344,0.705263,0.4568,0.1329,0.2618,0.3579,0.4758
Obesity-related_traits,2,23931322,rs11674248,0.978947,0.7104,0.7788,0.635,0.5547,0.329
Allergic_rhinitis,2,32834029,rs11680788,0.736842,0.1945,0.0089,0.0481,0.0626,0.0469
Glucose_homeostasis_traits,2,226721890,rs11683087,0.631579,0.6239,0.6974,0.7055,0.7952,0.1172
Obesity-related_traits,2,227720182,rs11691652,0.147368,0.2248,0.2351,0.2331,0.333,0.2322
Obesity-related_traits,20,44742679,rs11696845,0.673684,0.2997,0.375,0.3364,0.3897,0.1014
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_1_peripheral_neuropathy),3,121365620,rs11707293,0.336842,0.3545,0.7242,0.6697,0.5328,0.3933
Obesity-related_traits,3,172667903,rs11712263,0.0421053,0.1412,0.1548,0.2382,0.2843,0.0817
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),3,58394738,rs11714574,0.789474,0.4424,0.7907,0.6247,0.4314,0.4017
Immune_response_to_smallpox_vaccine_(IL-6),4,288710,rs11723261,0.621053,0.2579,0.1389,0.2096,0.167,0.0318
Obesity-related_traits,4,173680897,rs11727767,0.831579,0.6398,0.373,0.5593,0.5109,0.5862
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),11,44263881,rs117526668,0.0526316,0.0706,0.1151,0.1196,0.0676,0.0832
Obesity-related_traits,6,55608496,rs11754509,0.0210526,0.0173,0.001,0.0389,0.0696,0.0061
Obesity-related_traits,7,70422099,rs11766624,0.242105,0.1326,0.0853,0.1973,0.1511,0.2663
Response_to_amphetamines,7,48778369,rs11767191,0.789474,0.5865,0.6052,0.5521,0.5209,0.6309
Obesity-related_traits,8,22027033,rs11776272,0.0210526,0.2104,0.1508,0.1728,0.3877,0.1377
Immune_response_to_smallpox_vaccine_(IL-6),8,33815493,rs11786194,0.0526316,0.0476,0.2302,0.1125,0.0696,0.0045
Obesity-related_traits,1,246497934,rs11800820,0.0526316,0.2493,0.0565,0.2679,0.3608,0.3086
Waist-to-hip_circumference_ratio_(interaction),1,38255991,rs11802770,0.578947,0.5,0.6984,0.5757,0.5199,0.6687
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),1,31862344,rs11803434,0.210526,0.2089,0.4683,0.3415,0.2883,0.1952
